n_neurons,n_layers,dropout,epochs,optimizer,loss 1,accuracy 1,loss 2,accuracy 2,loss 3,accuracy 3,loss 4,accuracy 4,loss 5,accuracy 5
512,1,0.25,5,adam,0.626423180103302,0.8862000107765198,0.6001802682876587,0.9004999995231628,0.6136659383773804,0.8878999948501587,0.596555769443512,0.8949000239372253,0.6825463175773621,0.8761000037193298
1024,1,0.25,5,adam,0.924574613571167,0.902899980545044,0.8924677968025208,0.8980000019073486,0.9194720983505249,0.8995000123977661,1.1074689626693726,0.8855999708175659,1.1170122623443604,0.8787999749183655
2048,1,0.25,5,adam,1.7683582305908203,0.88919997215271,1.5939327478408813,0.9035000205039978,1.8710113763809204,0.8967999815940857,1.9728960990905762,0.8889999985694885,2.0767312049865723,0.878600001335144
4096,1,0.25,5,adam,3.1753604412078857,0.8949000239372253,3.8107120990753174,0.8756999969482422,3.6395914554595947,0.8841999769210815,3.766822338104248,0.8899000287055969,3.7276077270507812,0.8942999839782715
512,2,0.25,5,adam,376.0289611816406,0.7706000208854675,324.2002868652344,0.7709000110626221,174.28274536132812,0.8597000241279602,190.82321166992188,0.8596000075340271,255.96707153320312,0.8151999711990356
512,3,0.25,5,adam,344322.90625,0.6909999847412109,418935.71875,0.6700000166893005,1387035.0,0.46070000529289246,771309.9375,0.5817999839782715,1304204.0,0.37720000743865967
512,4,0.25,5,adam,3794605312.0,0.19660000503063202,2168282624.0,0.5073999762535095,1473858816.0,0.37040001153945923,863102208.0,0.5189999938011169,3855615744.0,0.45829999446868896
512,1,0.0,5,adam,0.5735101103782654,0.8982999920845032,0.720363199710846,0.8848999738693237,0.6816383004188538,0.8844000101089478,0.6255351305007935,0.886900007724762,0.5667209625244141,0.906000018119812
512,1,0.5,5,adam,0.6801624894142151,0.8820000290870667,0.5850931406021118,0.8982999920845032,0.5330824851989746,0.9089000225067139,0.57859206199646,0.8920000195503235,0.5694953203201294,0.8988999724388123
512,1,0.25,5,RMSprop,0.5129905939102173,0.9142000079154968,0.7114161252975464,0.8823000192642212,0.5964939594268799,0.8935999870300293,0.6211963891983032,0.8950999975204468,0.5589172840118408,0.8977000117301941
512,1,0.25,5,SGD,0.2905094623565674,0.9182000160217285,0.29079875349998474,0.9197999835014343,0.287672758102417,0.9196000099182129,0.2933804988861084,0.91839998960495,0.2914420962333679,0.9182000160217285
512,1,0.25,10,adam,1.0481163263320923,0.8883000016212463,0.9525023698806763,0.8966000080108643,1.0715399980545044,0.8816999793052673,1.0162973403930664,0.8920000195503235,1.1638051271438599,0.8790000081062317
512,1,0.25,20,adam,1.7626705169677734,0.8894000053405762,1.6580332517623901,0.8974999785423279,1.9803338050842285,0.880299985408783,2.000357151031494,0.8873999714851379,1.89314603805542,0.8794000148773193
512,1,0.25,30,adam,2.537231922149658,0.902999997138977,2.9419198036193848,0.8867999911308289,2.583186388015747,0.8971999883651733,2.46854305267334,0.8919000029563904,2.418182373046875,0.9041000008583069
