n_neurons,n_layers,dropout,epochs,optimizer,loss 1,accuracy 1,loss 2,accuracy 2,loss 3,accuracy 3,loss 4,accuracy 4,loss 5,accuracy 5
1024,1,0.25,10,adam,3.0526340007781982,0.25589999556541443,2.870798349380493,0.24779999256134033,2.707824230194092,0.2619999945163727,3.5127129554748535,0.23680000007152557,4.107641220092773,0.19259999692440033
512,1,0.25,10,adam,2.7536418437957764,0.2125999927520752,2.3791120052337646,0.2831000089645386,2.708369493484497,0.23600000143051147,2.5328683853149414,0.23350000381469727,2.374586582183838,0.27730000019073486
2048,1,0.25,10,adam,4.429619312286377,0.26600000262260437,3.6006598472595215,0.2581000030040741,5.128207206726074,0.1972000002861023,4.796773433685303,0.2515999972820282,4.177034854888916,0.24220000207424164
4096,1,0.25,10,adam,6.074739933013916,0.2712000012397766,6.170599460601807,0.2637999951839447,8.306354522705078,0.22429999709129333,13.041336059570312,0.24250000715255737,7.2091474533081055,0.19709999859333038
1024,2,0.25,10,adam,46.46103286743164,0.1080000028014183,37.487857818603516,0.15320000052452087,124.37516021728516,0.13230000436306,109.80098724365234,0.13740000128746033,32.14208221435547,0.11029999703168869
1024,3,0.25,10,adam,2059.251708984375,0.10000000149011612,911.5574951171875,0.10000000149011612,1742.913818359375,0.09989999979734421,214.6835174560547,0.15870000422000885,491.529541015625,0.11180000007152557
1024,4,0.25,10,adam,4056530.5,0.15940000116825104,1888.66015625,0.13210000097751617,132.1653289794922,0.10000000149011612,174.0691680908203,0.10000000149011612,4908.4443359375,0.10000000149011612
1024,1,0.0,10,adam,3.2835710048675537,0.28369998931884766,2.736525297164917,0.2827000021934509,2.999385356903076,0.23170000314712524,2.5893001556396484,0.2824000120162964,2.993328809738159,0.2694000005722046
1024,1,0.5,10,adam,2.899872303009033,0.27309998869895935,3.6706769466400146,0.23600000143051147,5.483107089996338,0.16840000450611115,3.7799034118652344,0.24500000476837158,3.856814384460449,0.2320999950170517
1024,1,0.25,10,RMSprop,4.475655555725098,0.2393999993801117,2.985687255859375,0.2637999951839447,3.9498183727264404,0.2676999866962433,5.931175708770752,0.16040000319480896,7.464585304260254,0.15539999306201935
1024,1,0.25,10,SGD,2.045974016189575,0.31450000405311584,2.1023709774017334,0.3034999966621399,2.0407981872558594,0.31520000100135803,1.8984111547470093,0.3513000011444092,1.869925618171692,0.3628000020980835
1024,1,0.25,5,adam,2.431870222091675,0.2556999921798706,3.584514856338501,0.2743000090122223,3.085578203201294,0.23309999704360962,3.2246811389923096,0.20080000162124634,2.605637788772583,0.2513999938964844
1024,1,0.25,20,adam,2.2119383811950684,0.3107999861240387,3.1137473583221436,0.2167000025510788,2.757767677307129,0.266400009393692,2.44775128364563,0.27649998664855957,2.7910313606262207,0.25220000743865967
1024,1,0.25,30,adam,3.6444694995880127,0.24699999392032623,3.1429407596588135,0.273499995470047,4.34419059753418,0.21719999611377716,4.088186740875244,0.16990000009536743,3.269235134124756,0.2623000144958496
